Tray,Date,FlyID,Strain,Sex,Age,FilePath,Ignore,Notes,Ntrials,rBias,BatchID,uniquetrayID
1,10-Apr-2021,44,45,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,667,0.612612612612613,2,7
1,10-Apr-2021,45,45,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,756,0.64635761589404,2,7
1,10-Apr-2021,46,45,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,216,0.641860465116279,2,7
1,10-Apr-2021,47,45,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,125,0.516129032258065,2,7
1,10-Apr-2021,48,45,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,364,0.62534435261708,2,7
1,10-Apr-2021,49,535,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,823,0.456204379562044,2,7
1,10-Apr-2021,50,535,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,575,0.358885017421603,2,7
1,10-Apr-2021,51,535,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,727,0.479338842975207,2,7
1,10-Apr-2021,52,535,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,360,0.568245125348189,2,7
1,10-Apr-2021,53,535,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,598,0.530988274706868,2,7
1,10-Apr-2021,54,535,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,441,0.7,2,7
1,10-Apr-2021,55,535,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,74,0.561643835616438,2,7
1,10-Apr-2021,56,535,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,549,0.456204379562044,2,7
1,10-Apr-2021,57,535,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,580,0.526770293609672,2,7
1,10-Apr-2021,58,535,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,550,0.486338797814208,2,7
1,10-Apr-2021,59,535,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,131,0.523076923076923,2,7
1,10-Apr-2021,60,535,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,775,0.493540051679587,2,7
1,10-Apr-2021,61,535,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,542,0.523105360443623,2,7
1,10-Apr-2021,62,535,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,720,0.541029207232267,2,7
1,10-Apr-2021,63,535,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,618,0.528363047001621,2,7
1,10-Apr-2021,64,535,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,676,0.588148148148148,2,7
1,10-Apr-2021,65,535,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,532,0.500941619585687,2,7
1,10-Apr-2021,66,535,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,591,0.389830508474576,2,7
