BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day1,rBias_Week2Day1,n_Week2Day2,rBias_Week2Day2,n_Week3Day1,rBias_Week3Day1,n_Week3Day2,rBias_Week3Day2,n_Week3Day3,rBias_Week3Day3
2,3,42,907,0,168,0.449101796407186,112,0.333333333333333,143,0.211267605633803,209,0.394230769230769,102,0.376237623762376,97,0.5625,126,0.56,154,0.627450980392157
2,3,43,907,0,501,0.412,220,0.561643835616438,151,0.393333333333333,414,0.641646489104116,371,0.532432432432432,228,0.599118942731278,282,0.501779359430605,226,0.551111111111111
2,3,44,907,0,217,0.597222222222222,86,0.564705882352941,344,0.56268221574344,-1,NaN,-1,NaN,-1,NaN,0,NaN,-1,NaN
2,3,45,907,0,131,0.453846153846154,224,0.47085201793722,365,0.53021978021978,125,0.451612903225806,349,0.511494252873563,-1,NaN,4,0.666666666666667,-1,NaN
2,3,46,907,0,325,0.425925925925926,352,0.413105413105413,415,0.434782608695652,314,0.552715654952077,193,0.557291666666667,235,0.517094017094017,90,0.685393258426966,58,0.56140350877193
2,3,47,907,0,370,0.281842818428184,-1,NaN,-1,NaN,0,NaN,-1,NaN,2,0,0,NaN,-1,NaN
2,3,48,535,0,21,0.25,137,0.566176470588235,5,0.5,448,0.523489932885906,477,0.418067226890756,413,0.475728155339806,323,0.546583850931677,314,0.466453674121406
2,3,49,535,0,518,0.359767891682785,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,3,50,535,0,699,0.573065902578797,1195,0.508375209380235,1027,0.54093567251462,278,0.48014440433213,-1,NaN,-1,NaN,2,1,-1,NaN
2,3,51,535,0,20,0.526315789473684,489,0.637295081967213,524,0.611854684512428,432,0.703016241299304,524,0.552581261950287,-1,NaN,6,0.4,-1,NaN
2,3,52,535,0,638,0.510204081632653,64,0.777777777777778,446,0.746067415730337,594,0.782462057335582,597,0.786912751677852,576,0.601739130434783,165,0.73780487804878,293,0.61986301369863
2,3,53,535,0,566,0.607079646017699,-1,NaN,-1,NaN,0,NaN,-1,NaN,0,NaN,6,0.8,-1,NaN
2,3,54,535,0,648,0.435857805255023,810,0.543881334981459,843,0.545130641330166,697,0.471264367816092,662,0.447806354009077,458,0.509846827133479,471,0.468085106382979,394,0.498727735368957
2,3,55,535,0,420,0.405727923627685,406,0.214814814814815,492,0.221995926680244,464,0.241900647948164,509,0.224409448818898,449,0.571428571428571,2,0,-1,NaN
2,3,56,535,0,491,0.410204081632653,440,0.533029612756264,872,0.614236509758898,762,0.658344283837056,658,0.654490106544901,626,0.4912,438,0.659038901601831,-1,NaN
2,3,57,535,0,28,0.592592592592593,102,0.653465346534653,510,0.726915520628684,563,0.537366548042705,457,0.567982456140351,322,0.514018691588785,319,0.50314465408805,338,0.504451038575668
2,3,58,535,0,182,0.430939226519337,635,0.285488958990536,707,0.412181303116147,2,1,-1,NaN,18,0.470588235294118,0,NaN,-1,NaN
2,3,59,535,0,170,0.514792899408284,293,0.530821917808219,487,0.567901234567901,0,NaN,-1,NaN,-1,NaN,2,0,-1,NaN
2,3,60,535,0,439,0.769406392694064,744,0.596231493943472,206,0.580487804878049,649,0.478395061728395,585,0.421232876712329,521,0.528846153846154,379,0.486772486772487,400,0.408521303258145
2,3,61,535,0,521,0.453846153846154,851,0.455294117647059,2,0,7,0.5,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,3,62,535,0,101,0.7,389,0.481958762886598,404,0.535980148883375,268,0.531835205992509,349,0.517241379310345,-1,NaN,2,0,-1,NaN
2,3,63,535,0,46,0.466666666666667,122,0.380165289256198,520,0.583815028901734,314,0.514376996805112,326,0.581538461538462,346,0.527536231884058,139,0.666666666666667,-1,NaN
2,3,64,535,0,386,0.462337662337662,601,0.548333333333333,188,0.385026737967914,-1,NaN,-1,NaN,-1,NaN,4,0.333333333333333,-1,NaN
2,3,65,535,0,318,0.593059936908517,927,0.470842332613391,677,0.603550295857988,618,0.538087520259319,595,0.590909090909091,561,0.476785714285714,144,0.426573426573427,29,0.464285714285714
2,3,66,535,0,162,0.354037267080745,648,0.460587326120556,716,0.532867132867133,319,0.377358490566038,176,0.48,-1,NaN,0,NaN,-1,NaN
2,3,67,535,0,51,0.58,321,0.546875,874,0.572737686139748,593,0.481418918918919,458,0.590809628008753,393,0.479591836734694,602,0.509151414309484,299,0.359060402684564
2,3,68,535,0,141,0.621428571428571,247,0.548780487804878,562,0.450980392156863,604,0.406301824212272,608,0.42339373970346,-1,NaN,3,0.5,-1,NaN
2,3,69,535,0,139,0.608695652173913,532,0.551789077212806,570,0.555360281195079,506,0.554455445544555,497,0.659274193548387,465,0.618534482758621,340,0.622418879056047,-1,NaN
2,3,70,535,0,72,0.549295774647887,330,0.492401215805471,629,0.496815286624204,598,0.5678391959799,327,0.506134969325153,-1,NaN,0,NaN,-1,NaN
2,3,71,535,0,272,0.468634686346863,513,0.509765625,528,0.512333965844402,340,0.551622418879056,117,0.456896551724138,347,0.419075144508671,284,0.508833922261484,349,0.39367816091954
2,3,72,535,0,101,0.49,144,0.440559440559441,665,0.462349397590361,501,0.404,483,0.433609958506224,69,0.558823529411765,100,0.494949494949495,288,0.526132404181185
2,3,73,535,0,126,0.464,742,0.453441295546559,754,0.51261620185923,166,0.436363636363636,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,3,74,535,0,735,0.408719346049046,784,0.468710089399745,793,0.372474747474747,692,0.474674384949349,717,0.493016759776536,405,0.544554455445545,503,0.450199203187251,461,0.428260869565217
2,3,75,535,0,464,0.349892008639309,199,0.464646464646465,424,0.356973995271868,671,0.57910447761194,813,0.573891625615764,479,0.5,140,0.41726618705036,385,0.434895833333333
2,3,76,535,0,674,0.4962852897474,517,0.494186046511628,422,0.598574821852732,374,0.466487935656836,295,0.724489795918367,628,0.370015948963317,335,0.320359281437126,-1,NaN
2,3,77,535,0,417,0.584134615384615,414,0.338983050847458,480,0.582463465553236,399,0.42713567839196,289,0.5,444,0.485327313769752,417,0.432692307692308,452,0.452328159645233
2,3,78,535,0,146,0.372413793103448,0,NaN,-1,NaN,7,0.666666666666667,-1,NaN,9,0.5,2,1,-1,NaN
2,3,79,535,0,493,0.597560975609756,170,0.686390532544379,854,0.522860492379836,495,0.483805668016194,539,0.574349442379182,-1,NaN,1,NaN,-1,NaN
2,3,80,535,0,616,0.510569105691057,390,0.529562982005141,343,0.494152046783626,528,0.580645161290323,461,0.595652173913043,4,0.333333333333333,0,NaN,-1,NaN
2,3,81,535,0,390,0.303341902313625,641,0.5078125,579,0.461937716262976,388,0.537467700258398,375,0.56951871657754,-1,NaN,3,0.5,-1,NaN
2,3,82,535,0,127,0.444444444444444,554,0.556962025316456,520,0.514450867052023,455,0.526431718061674,503,0.52390438247012,222,0.547511312217195,194,0.533678756476684,-1,NaN
2,3,83,535,0,431,0.574418604651163,489,0.602459016393443,463,0.716450216450216,8,0.571428571428571,-1,NaN,-1,NaN,0,NaN,-1,NaN
2,3,84,535,0,178,0.457627118644068,250,0.389558232931727,411,0.448780487804878,443,0.416289592760181,300,0.431438127090301,316,0.482539682539683,-1,NaN,-1,NaN
2,3,85,535,0,214,0.549295774647887,679,0.619469026548673,816,0.598773006134969,630,0.499205087440382,601,0.526666666666667,695,0.550432276657061,476,0.530526315789474,-1,NaN
2,3,86,535,0,75,0.445945945945946,412,0.549878345498783,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN
2,3,87,535,0,15,0.571428571428571,259,0.484496124031008,254,0.462450592885375,567,0.519434628975265,173,0.418604651162791,-1,NaN,-1,NaN,-1,NaN
2,3,88,535,0,192,0.43455497382199,376,0.581333333333333,427,0.546948356807512,95,0.574468085106383,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,3,89,535,0,239,0.504201680672269,511,0.429411764705882,669,0.387724550898204,598,0.599664991624791,394,0.513994910941476,136,0.407407407407407,140,0.618705035971223,-1,NaN
2,3,90,535,0,457,0.364035087719298,600,0.370617696160267,481,0.414583333333333,634,0.448657187993681,408,0.488943488943489,313,0.378205128205128,290,0.463667820069204,91,0.277777777777778
2,3,91,535,0,364,0.286501377410468,619,0.480582524271845,780,0.396662387676508,743,0.432614555256065,226,0.497777777777778,227,0.544247787610619,-1,NaN,-1,NaN
2,3,92,535,0,33,0.53125,312,0.495176848874598,180,0.502793296089385,576,0.370434782608696,228,0.484581497797357,448,0.395973154362416,-1,NaN,-1,NaN
2,3,93,535,0,249,0.516129032258065,868,0.554786620530565,306,0.547540983606557,462,0.494577006507592,444,0.519187358916479,468,0.398286937901499,533,0.516917293233083,544,0.390423572744015
2,3,94,535,0,21,0.6,417,0.423076923076923,403,0.604477611940298,516,0.561165048543689,411,0.568292682926829,223,0.567567567567568,-1,NaN,-1,NaN
2,3,95,535,0,171,0.541176470588235,-1,NaN,-1,NaN,4,0,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,3,96,535,0,7,0.5,96,0.684210526315789,389,0.600515463917526,400,0.609022556390977,271,0.525925925925926,215,0.546728971962617,244,0.534979423868313,325,0.62037037037037
