BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day1,rBias_Week2Day1,n_Week2Day2,rBias_Week2Day2,n_Week2Day3,rBias_Week2Day3,n_Week3Day1,rBias_Week3Day1,n_Week3Day2,rBias_Week3Day2,n_Week3Day3,rBias_Week3Day3
2,1,40,105,0,691,0.476811594202899,783,0.493606138107417,553,0.630434782608696,-1,NaN,-1,NaN,-1,NaN,3,0.5,2,1,-1,NaN
2,1,41,105,0,897,0.375,1086,0.663594470046083,440,0.528473804100228,204,0.467980295566502,156,0.438709677419355,760,0.504611330698287,616,0.482926829268293,904,0.452934662236988,385,0.484375
2,1,42,105,0,202,0.313432835820896,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,2,1,1,NaN,-1,NaN
2,1,43,105,0,655,0.415902140672783,389,0.311855670103093,256,0.501960784313725,-1,NaN,-1,NaN,-1,NaN,4,0.666666666666667,1,NaN,-1,NaN
2,1,44,105,0,660,0.344461305007587,367,0.306010928961749,48,0.531914893617021,67,0.378787878787879,121,0.358333333333333,1134,0.675198587819947,621,0.401612903225806,446,0.680898876404494,539,0.827137546468402
2,1,45,105,0,762,0.584756898817346,788,0.449809402795426,562,0.527629233511586,812,0.598027127003699,390,0.588688946015424,745,0.634408602150538,684,0.592972181551977,-1,NaN,-1,NaN
2,1,46,105,0,338,0.537091988130564,798,0.488080301129235,526,0.36,455,0.403083700440529,257,0.515625,468,0.554603854389722,530,0.444234404536862,492,0.480651731160896,68,0.477611940298507
2,1,47,105,0,909,0.386563876651982,543,0.455719557195572,153,0.592105263157895,207,0.567961165048544,291,0.427586206896552,564,0.27708703374778,508,0.670611439842209,388,0.217054263565891,461,0.708695652173913
2,1,48,105,0,932,0.416756176154672,264,0.452471482889734,446,0.523595505617978,499,0.467871485943775,475,0.582278481012658,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,1,49,45,0,114,0.345132743362832,680,0.245949926362297,457,0.513157894736842,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,1,50,45,0,626,0.4768,496,0.507070707070707,422,0.380047505938242,592,0.321489001692047,511,0.268627450980392,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,1,51,45,0,866,0.530635838150289,864,0.448435689455388,772,0.407263294422827,704,0.594594594594595,753,0.476063829787234,899,0.648106904231626,588,0.890971039182283,487,0.769547325102881,588,0.17717206132879
2,1,52,45,0,802,0.534332084893883,959,0.536534446764092,848,0.565525383707202,-1,NaN,-1,NaN,-1,NaN,2,1,-1,NaN,-1,NaN
2,1,53,45,0,-1,NaN,-1,NaN,1,NaN,-1,NaN,-1,NaN,-1,NaN,2,1,2,0,-1,NaN
2,1,54,45,0,875,0.67162471395881,490,0.425357873210634,509,0.55511811023622,977,0.742827868852459,-1,NaN,-1,NaN,3,0,2,0,-1,NaN
2,1,55,45,0,139,0.478260869565217,665,0.442771084337349,359,0.466480446927374,482,0.515592515592516,0,NaN,-1,NaN,2,1,2,0,-1,NaN
2,1,56,45,0,141,0.492857142857143,551,0.630909090909091,398,0.357682619647355,791,0.886075949367089,382,0.68503937007874,615,0.794788273615635,484,0.726708074534162,659,0.886018237082067,370,0.737127371273713
2,1,57,45,0,948,0.697993664202746,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,1,NaN,0,NaN,-1,NaN
2,1,58,45,0,675,0.439169139465875,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN
2,1,59,45,0,151,0.533333333333333,703,0.433048433048433,232,0.454545454545455,511,0.486274509803922,476,0.448421052631579,-1,NaN,0,NaN,-1,NaN,-1,NaN
2,1,60,45,0,848,0.415584415584416,519,0.345559845559846,341,0.567647058823529,648,0.591962905718702,633,0.479430379746835,929,0.476293103448276,560,0.586762075134168,375,0.451871657754011,-1,NaN
2,1,61,45,0,947,0.492600422832981,700,0.467811158798283,568,0.567901234567901,678,0.605612998522895,589,0.503401360544218,719,0.643454038997215,513,0.51171875,603,0.629568106312292,429,0.521028037383178
2,1,62,45,0,286,0.673684210526316,774,0.529107373868047,476,0.55578947368421,667,0.472972972972973,437,0.646788990825688,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,1,63,45,0,1088,0.320147194112236,1013,0.320158102766798,555,0.581227436823105,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,1,64,45,0,686,0.535766423357664,848,0.525383707201889,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,1,NaN,-1,NaN
2,1,65,45,0,811,0.488888888888889,877,0.457762557077626,663,0.52416918429003,920,0.46354733405876,687,0.322157434402332,966,0.321243523316062,323,0.372670807453416,0,NaN,-1,NaN
2,1,66,45,0,238,0.675105485232067,650,0.534668721109399,0,NaN,-1,NaN,-1,NaN,-1,NaN,1,NaN,0,NaN,-1,NaN
2,1,67,45,0,695,0.585014409221902,-1,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN,1,NaN,0,NaN,-1,NaN
2,1,68,45,0,656,0.453435114503817,571,0.570175438596491,333,0.536144578313253,483,0.539419087136929,367,0.524590163934426,773,0.498704663212435,0,NaN,0,NaN,-1,NaN
2,1,69,45,0,68,0.313432835820896,226,0.542222222222222,250,0.562248995983936,568,0.440917107583774,438,0.439359267734554,632,0.640253565768621,559,0.401433691756272,508,0.597633136094675,438,0.583524027459954
2,1,70,45,0,703,0.515669515669516,696,0.686330935251799,412,0.552311435523114,393,0.602040816326531,525,0.629770992366412,0,NaN,0,NaN,-1,NaN,-1,NaN
2,1,71,45,0,1069,0.536516853932584,418,0.6810551558753,421,0.564285714285714,910,0.567656765676568,596,0.515966386554622,760,0.503293807641634,380,0.453825857519789,452,0.496674057649667,368,0.411444141689373
