,Batch #,Fly ID,Date,Day,Drug Treatment,nTurns,rBias
304,1,17,5/11,8,TrH,-1,
305,1,18,5/11,8,TrH,551,0.2545454545
306,1,19,5/11,8,TrH,297,0.6148648649
307,1,20,5/11,8,TrH,-1,
308,1,21,5/11,8,TrH,-1,
309,1,22,5/11,8,TrH,234,0.2746781116
310,1,23,5/11,8,TrH,201,0.375
311,1,24,5/11,8,TrH,692,0.6888567294
312,1,25,5/11,8,TrH,0,
313,1,26,5/11,8,TrH,165,0.3414634146
314,1,27,5/11,8,TrH,389,0.6881443299
315,1,28,5/11,8,TrH,89,0.3295454545
316,1,29,5/11,8,TrH,514,0.4814814815
317,1,30,5/11,8,TrH,89,0.4772727273
318,1,31,5/11,8,TrH,561,0.20535714289999998
319,1,32,5/11,8,TrH,223,0.3468468468
320,1,33,5/11,8,TrH,217,0.6944444444
321,1,34,5/11,8,TrH,193,0.328125
322,1,35,5/11,8,TrH,134,0.3007518797
323,1,36,5/11,8,TrH,-1,
324,1,37,5/11,8,TrH,54,0.3396226415
325,1,38,5/11,8,TrH,41,0.725
326,1,39,5/11,8,TrH,9,0.5
327,1,40,5/11,8,TrH,88,0.5977011494
328,1,41,5/11,8,TrH,182,0.20441988949999998
329,1,42,5/11,8,TrH,341,0.6705882353
330,1,43,5/11,8,TrH,0,
331,1,44,5/11,8,TrH,-1,
332,1,45,5/11,8,TrH,433,0.34490740740000003
333,1,46,5/11,8,TrH,126,0.424
334,1,47,5/11,8,TrH,457,0.6776315789
335,1,48,5/11,8,TrH,233,0.6982758620999999
336,1,49,5/11,8,TrH,395,0.5482233503
337,1,50,5/11,8,TrH,0,
338,1,51,5/11,8,TrH,197,0.4795918367
339,1,52,5/11,8,TrH,-1,
340,1,53,5/11,8,TrH,319,0.3962264151
341,1,54,5/11,8,TrH,137,0.5294117647
342,1,55,5/11,8,TrH,343,0.5321637427
343,1,56,5/11,8,TrH,-1,
344,1,57,5/11,8,TrH,169,0.2797619048
345,1,58,5/11,8,TrH,327,0.6748466258
346,1,59,5/11,8,TrH,311,0.5903225806
347,1,60,5/11,8,TrH,151,0.6133333333
348,1,61,5/11,8,TrH,225,0.5535714286
349,1,62,5/11,8,TrH,209,0.20673076920000003
350,1,63,5/11,8,TrH,353,0.4147727273
351,1,64,5/11,8,TrH,512,0.35616438359999997
352,1,65,5/11,8,TrH,14,0.8461538462
353,1,66,5/11,8,TrH,2,1.0
354,1,67,5/11,8,TrH,205,0.362745098
355,1,68,5/11,8,TrH,351,0.56
356,1,69,5/11,8,TrH,359,0.41061452509999996
357,1,70,5/11,8,TrH,213,0.42452830189999996
358,1,71,5/11,8,TrH,462,0.41865509759999997
359,1,72,5/11,8,TrH,264,0.4904942966
360,1,73,5/11,8,TrH,91,0.4777777778
361,1,74,5/11,8,TrH,168,0.3293413174
362,1,75,5/11,8,TrH,119,0.49152542369999996
363,1,76,5/11,8,TrH,152,0.3907284768
364,1,77,5/11,8,TrH,281,0.5035714286
365,1,78,5/11,8,TrH,-1,
366,1,79,5/11,8,TrH,281,0.4
367,1,80,5/11,8,TrH,269,0.3656716418
368,1,81,5/11,8,TrH,-1,
369,1,82,5/11,8,TrH,-1,
370,1,83,5/11,8,TrH,-1,
371,1,84,5/11,8,TrH,255,0.45275590549999994
372,1,85,5/11,8,TrH,301,0.5533333333
373,1,86,5/11,8,TrH,-1,
374,1,87,5/11,8,TrH,336,0.5970149254
375,1,88,5/11,8,TrH,90,0.4943820225
376,1,89,5/11,8,TrH,-1,
377,1,90,5/11,8,TrH,101,0.37
378,1,91,5/11,8,TrH,-1,
379,1,92,5/11,8,TrH,-1,
380,1,93,5/11,8,TrH,-1,
381,1,94,5/11,8,TrH,50,0.6530612245
382,1,95,5/11,8,TrH,-1,
383,1,96,5/11,8,TrH,-1,
384,1,1,5/12,9,TrH,87,0.33720930229999996
385,1,2,5/12,9,TrH,-1,
386,1,3,5/12,9,TrH,109,0.3703703704
387,1,4,5/12,9,TrH,306,0.4786885246
388,1,5,5/12,9,TrH,79,0.47435897439999997
389,1,6,5/12,9,TrH,294,0.5358361775
390,1,7,5/12,9,TrH,1,
391,1,8,5/12,9,TrH,226,0.6088888889
392,1,9,5/12,9,TrH,-1,
393,1,10,5/12,9,TrH,-1,
394,1,11,5/12,9,TrH,-1,
395,1,12,5/12,9,TrH,-1,
396,1,13,5/12,9,TrH,0,
397,1,14,5/12,9,TrH,4,0.3333333333
398,1,15,5/12,9,TrH,162,0.6832298137
399,1,16,5/12,9,TrH,2,0.0
400,1,17,5/12,9,TrH,10,0.44444444439999997
401,1,18,5/12,9,TrH,313,0.4134615385
402,1,19,5/12,9,TrH,419,0.2559808612
403,1,20,5/12,9,TrH,4,0.3333333333
404,1,21,5/12,9,TrH,0,
405,1,22,5/12,9,TrH,189,0.23936170210000002
406,1,23,5/12,9,TrH,283,0.41843971630000004
407,1,24,5/12,9,TrH,246,0.7265306122
408,1,25,5/12,9,TrH,0,
409,1,26,5/12,9,TrH,76,0.5733333333
410,1,27,5/12,9,TrH,599,0.4698996656
411,1,28,5/12,9,TrH,34,0.5757575758
412,1,29,5/12,9,TrH,374,0.5388739946
413,1,30,5/12,9,TrH,85,0.5476190476
414,1,31,5/12,9,TrH,140,0.31654676260000003
415,1,32,5/12,9,TrH,167,0.4156626506
416,1,33,5/12,9,TrH,90,0.5617977528
417,1,34,5/12,9,TrH,196,0.45128205130000004
418,1,35,5/12,9,TrH,-1,
419,1,36,5/12,9,TrH,-1,
420,1,37,5/12,9,TrH,176,0.44
421,1,38,5/12,9,TrH,16,0.6666666667
422,1,39,5/12,9,TrH,26,0.64
423,1,40,5/12,9,TrH,218,0.4884792627
424,1,41,5/12,9,TrH,146,0.4344827586
425,1,42,5/12,9,TrH,147,0.5547945205
426,1,43,5/12,9,TrH,6,0.6
427,1,44,5/12,9,TrH,10,0.5555555556
428,1,45,5/12,9,TrH,468,0.1798715203
429,1,46,5/12,9,TrH,130,0.503875969
430,1,47,5/12,9,TrH,323,0.6149068323
431,1,48,5/12,9,TrH,80,0.5949367089
432,1,49,5/12,9,TrH,331,0.6333333333
433,1,50,5/12,9,TrH,0,
434,1,51,5/12,9,TrH,198,0.42639593909999995
435,1,52,5/12,9,TrH,11,0.5
436,1,53,5/12,9,TrH,577,0.6128472222
437,1,54,5/12,9,TrH,17,0.375
438,1,55,5/12,9,TrH,237,0.5762711864
439,1,56,5/12,9,TrH,0,
440,1,57,5/12,9,TrH,12,0.6363636364
